iter	Accuracy	MultiClass
0	0.6301045296	1.81033706
1	0.6352922958	1.664802071
2	0.6383584979	1.563175571
3	0.6430971738	1.484287529
4	0.646271777	1.423792707
5	0.6467518389	1.376384292
6	0.6482229965	1.335825106
7	0.6487804878	1.303401931
8	0.6493379791	1.275794014
9	0.650530391	1.251365176
10	0.650654278	1.23150467
11	0.6511343399	1.214506993
12	0.6518466899	1.199413836
13	0.6529616725	1.185457196
14	0.653968254	1.173326437
15	0.6547580333	1.162446283
16	0.655981417	1.15329111
17	0.6578242354	1.139964068
18	0.659171506	1.129059838
19	0.6599922571	1.119589503
20	0.660704607	1.111511445
21	0.6618195896	1.103864813
22	0.6627022842	1.096310855
23	0.6631204026	1.090024439
24	0.6642198993	1.085312742
25	0.664498645	1.080387389
26	0.6649012776	1.075364039
27	0.6650561363	1.071615854
28	0.6658304297	1.067604651
29	0.6666202091	1.063651641
30	0.6670228417	1.061186363
31	0.6675648471	1.058069953
32	0.6675958188	1.055559669
33	0.6680603949	1.05279399
34	0.6683701123	1.050589673
35	0.6684785134	1.048247556
36	0.6688966318	1.046347997
37	0.6691753775	1.044350198
38	0.6695315525	1.042384219
39	0.6699961285	1.040047909
40	0.6703832753	1.038516139
41	0.670646535	1.037184838
42	0.67100271	1.035610966
43	0.6711111111	1.034672135
44	0.6712349981	1.033106006
45	0.6713433991	1.032080188
46	0.6713279133	1.030818815
47	0.6716995741	1.029718714
48	0.6719163763	1.028846303
49	0.6721022067	1.02814351
50	0.6722260937	1.027054297
51	0.6724893535	1.025942218
52	0.6725822687	1.025096666
53	0.6725512969	1.024189412
54	0.6726442122	1.023312161
55	0.6728455285	1.022668409
56	0.673015873	1.021489426
57	0.6734494774	1.020571404
58	0.6739295393	1.019582123
59	0.6739140534	1.018394067
60	0.6742702284	1.017744991
61	0.6741773132	1.017205648
62	0.674440573	1.016407883
63	0.6744715447	1.015925523
64	0.6746573751	1.015363918
65	0.6746418893	1.014559318
66	0.6749670925	1.013464056
67	0.6752303523	1.013004501
68	0.675261324	1.012590858
69	0.6752768099	1.011860905
70	0.6755710414	1.011134824
71	0.6756639566	1.01042568
72	0.6758807588	1.0100787
73	0.6760046458	1.00973922
74	0.6759427023	1.009338403
75	0.6760201316	1.009035823
76	0.6762369338	1.008611656
77	0.6763143631	1.007947215
78	0.6767634533	1.006346484
79	0.6768253968	1.005329559
80	0.6770267131	1.004530766
81	0.6771506001	1.003372108
82	0.6772435153	1.002711237
83	0.677274487	1.002185625
84	0.6774448316	1.001694795
85	0.6775222609	1.001073546
86	0.6776926055	0.9998975876
87	0.6779094077	0.9992144551
88	0.6779248935	0.9988512026
89	0.6780487805	0.9983995112
90	0.6781726674	0.9980878581
91	0.6782965544	0.997659819
92	0.6782500968	0.9974513647
93	0.6783584979	0.9967108256
94	0.6784359272	0.9962793385
95	0.6785443283	0.9955621491
96	0.6786217576	0.9953615587
97	0.6787301587	0.9950105256
98	0.6787921022	0.9946341463
99	0.6787921022	0.994411053
100	0.6789159892	0.9938558604
101	0.6788695316	0.9936092964
102	0.6788695316	0.9931421796
103	0.6790089044	0.9928389349
104	0.6791482772	0.992296869
105	0.67928765	0.9918316275
106	0.6793495935	0.991616882
107	0.6796283391	0.991097198
108	0.6795973674	0.9907744749
109	0.6796747967	0.9903767422
110	0.679643825	0.9899902003
111	0.6796128533	0.9895080212
112	0.679643825	0.989418917
113	0.6797367402	0.9891652149
114	0.6798141696	0.9889431499
115	0.6801393728	0.9885081543
116	0.680232288	0.9882039416
117	0.6803097174	0.9880100658
118	0.6804490902	0.9878078421
119	0.6804181185	0.9875358111
120	0.6805110337	0.9869942291
121	0.6807742935	0.9867064702
122	0.6807278358	0.9864522842
123	0.6807897793	0.9859272164
124	0.6808672087	0.9855420054
125	0.6810065815	0.9853786174
126	0.6811924119	0.9851028963
127	0.681300813	0.9847364983
128	0.6813162989	0.9845261082
129	0.6813162989	0.9842523834
130	0.6812698413	0.984058689
131	0.681300813	0.983808435
132	0.6814401858	0.9834984151
133	0.6814866434	0.9833344827
134	0.6814711576	0.9830282738
135	0.6814556717	0.9828195775
136	0.6814556717	0.9826511082
137	0.6815950445	0.9821285811
138	0.6817034456	0.981900346
139	0.6817344173	0.9814635961
140	0.6818428184	0.9809726457
141	0.6819047619	0.9806813178
142	0.6820751065	0.9803608328
143	0.6819821913	0.9802404544
144	0.6819667054	0.980069142
145	0.6820905923	0.979927289
146	0.6821060782	0.9796912505
147	0.6822144793	0.9793856465
148	0.6821989934	0.9791830599
149	0.6823228804	0.9789214939
150	0.6825087108	0.9785481393
151	0.6825087108	0.9782975828
152	0.6826945412	0.9780192001
153	0.6830197445	0.9777788061
154	0.6831126597	0.9774774366
155	0.6831281456	0.9773287481
156	0.6831591173	0.9772127855
157	0.6832210608	0.9770664562
158	0.6832675184	0.9769209737
159	0.6832675184	0.9765603223
160	0.6833604336	0.9763166618
161	0.6833914053	0.9761732966
162	0.683437863	0.9759969028
163	0.6834533488	0.9756710342
164	0.6834843206	0.9754087423
165	0.6834998064	0.9752075469
166	0.6834998064	0.9750532327
167	0.6834223771	0.9747412771
168	0.6835307782	0.9744449889
169	0.6835617499	0.9742519599
170	0.6836546651	0.9740144091
171	0.6836391792	0.9737980909
172	0.6838095238	0.9735296288
173	0.6838250097	0.9733398664
174	0.6839179249	0.9731827091
175	0.6839488966	0.9729134001
176	0.6840418118	0.97273991
177	0.6841966705	0.9724887485
178	0.6842431281	0.972343629
179	0.6843205575	0.9719927168
180	0.6843360434	0.9717817218
181	0.6844289586	0.9715692751
182	0.6844134727	0.9714401253
183	0.6844444444	0.9712376597
184	0.6845683314	0.9708516018
185	0.6846302749	0.9707553596
186	0.6845993031	0.9706113894
187	0.6845218738	0.9703572638
188	0.6846767325	0.9701799627
189	0.6845993031	0.9700808774
190	0.6846457607	0.9698862756
191	0.6847077042	0.9697798708
192	0.6847851336	0.9695771027
193	0.6847851336	0.9694046409
194	0.6849399923	0.9691364208
195	0.6849245064	0.9689383711
196	0.6851258227	0.9686947711
197	0.6852497096	0.9684682298
198	0.6852961672	0.968335874
199	0.6852961672	0.9682550571
200	0.6851567944	0.9681309282
201	0.6851877662	0.9679151544
202	0.6853890825	0.9677038569
203	0.6853116531	0.9675602497
204	0.6854665118	0.9672898519
205	0.6855439412	0.9671352957
206	0.6856058846	0.9670269551
207	0.6856058846	0.9668840738
208	0.6857297716	0.9667281262
209	0.6858072009	0.9665975247
210	0.6857452575	0.9664387945
211	0.6859310879	0.9661604118
212	0.6860240031	0.9659652657
213	0.6858846303	0.9658730159
214	0.6859465738	0.9657719343
215	0.6859465738	0.9656403649
216	0.6858691444	0.9653806136
217	0.6859930314	0.965185044
218	0.6860549748	0.965080212
219	0.6860704607	0.9648915384
220	0.6861169183	0.9646393486
221	0.6861943477	0.9644832196
222	0.6862253194	0.9642269164
223	0.6861788618	0.9640279593
224	0.6862872629	0.963855437
225	0.6863492063	0.9635917538
226	0.6861633759	0.9634070122
227	0.6861324042	0.9632713294
228	0.686271777	0.9631419982
229	0.6863182346	0.9630009316
230	0.6863646922	0.962747169
231	0.6863801781	0.9626609684
232	0.6863646922	0.9624221472
233	0.6863801781	0.9622323243
234	0.6864730933	0.9620515752
235	0.6865195509	0.961882138
236	0.6866589237	0.9615235434
237	0.6866744096	0.9613248887
238	0.6866589237	0.9612046917
239	0.6865969803	0.9611447445
240	0.6867518389	0.9609495378
241	0.6869066976	0.9606878509
242	0.6869376694	0.9605174458
243	0.686984127	0.960406867
244	0.686984127	0.9602497701
245	0.6871234998	0.9600457922
246	0.6870925281	0.9599589866
247	0.6872009292	0.9598140486
248	0.6872473868	0.9596421312
249	0.6871854433	0.9593371927
250	0.6872473868	0.9591719294
251	0.6872938444	0.9590357022
252	0.6873557878	0.9588444275
253	0.6874022455	0.9587418336
254	0.6874332172	0.9585972585
255	0.6874332172	0.9585286005
256	0.6874951607	0.9583738023
257	0.6875106465	0.9581695219
258	0.68757259	0.9580515631
259	0.6876655052	0.9578935588
260	0.687696477	0.9577618685
261	0.6877429346	0.9576336261
