iter	Passed	Remaining
0	206	206670
1	323	161528
2	443	147490
3	520	129531
4	596	118692
5	638	105696
6	684	97058
7	757	93883
8	806	88854
9	852	84428
10	940	84556
11	992	81713
12	1073	81489
13	1188	83701
14	1235	81149
15	1282	78866
16	1334	77138
17	1383	75470
18	1432	73982
19	1484	72721
20	1576	73515
21	1625	72245
22	1704	72406
23	1754	71365
24	1801	70261
25	1848	69253
26	1899	68465
27	1969	68361
28	2036	68189
29	2086	67448
30	2133	66678
31	2346	70987
32	2516	73731
33	2612	74239
34	2822	77808
35	3038	81352
36	3090	80441
37	3197	80935
38	3497	86172
39	3549	85195
40	3633	84987
41	3684	84033
42	3784	84235
43	3968	86217
44	4270	90627
45	4517	93695
46	4570	92672
47	4658	92390
48	4744	92072
49	4797	91155
50	4896	91113
51	4952	90280
52	5063	90480
53	5342	93587
54	5591	96067
55	5650	95258
56	5822	96333
57	5911	96006
58	6254	99746
59	6377	99913
60	6631	102082
61	6737	101925
62	6932	103109
63	7147	104527
64	7243	104189
65	7363	104201
66	7513	104628
67	7726	105898
68	7806	105337
69	8111	107769
70	8321	108878
71	8491	109445
72	8755	111182
73	9082	113655
74	9342	115225
75	9474	115191
76	9669	115913
77	9974	117904
78	10221	119166
79	10514	120920
80	10762	122102
81	10915	122203
82	11149	123184
83	11393	124239
84	11507	123877
85	11622	123523
86	11897	124851
87	12176	126193
88	12267	125567
89	12513	126522
90	12771	127571
91	12979	128103
92	13226	128997
93	13369	128856
94	13585	129417
95	13815	130091
96	14171	131928
97	14439	132897
98	14691	133704
99	14963	134674
100	15154	134894
101	15393	135522
102	15623	136060
103	15831	136398
104	16195	138046
105	16523	139358
106	16820	140384
107	17032	140672
108	17322	141596
109	17447	141164
110	17687	141663
111	18007	142775
112	18239	143174
113	18380	142851
114	18706	143961
115	18892	143972
116	19113	144250
117	19362	144724
118	19534	144623
119	19799	145193
120	20058	145714
121	20304	146128
122	20637	147147
123	20939	147924
124	21148	148036
125	21382	148317
126	21588	148402
127	21801	148520
128	21968	148327
129	22258	148957
130	22526	149432
131	22755	149631
132	23050	150259
133	23299	150580
134	23546	150873
135	23809	151257
136	24172	152269
137	24433	152618
138	24691	152945
139	24936	153181
140	25165	153314
141	25502	154091
142	25726	154181
143	25967	154363
144	26197	154477
145	26274	153686
146	26446	153460
147	26806	154319
148	27075	154641
149	27304	154722
150	27551	154909
151	27683	154442
152	27872	154301
153	28174	154777
154	28492	155332
155	28764	155625
156	29057	156023
157	29309	156195
158	29549	156297
159	29886	156902
160	30135	157042
161	30412	157318
162	30648	157378
163	30975	157901
164	31219	157988
165	31406	157790
166	31618	157711
167	31853	157749
168	32119	157934
169	32350	157947
170	32663	158352
171	32905	158403
172	33105	158257
173	33413	158618
174	33727	159000
175	34027	159310
176	34251	159261
177	34480	159230
178	34793	159583
179	35057	159708
180	35430	160317
181	35710	160499
182	35935	160433
183	36167	160394
184	36415	160424
185	36876	161385
186	37159	161555
187	37351	161325
188	37539	161082
189	37783	161079
190	38042	161134
191	38282	161107
192	38553	161206
193	38751	160999
194	39061	161253
195	39281	161132
196	39545	161192
197	39840	161374
198	40156	161636
199	40479	161918
200	40777	162094
201	41044	162147
202	41423	162634
203	41668	162589
204	41991	162844
205	42235	162790
206	42495	162798
207	42763	162830
208	43068	163000
209	43301	162895
210	43578	162955
211	43857	163018
212	44125	163035
213	44339	162853
214	44583	162782
215	44849	162787
216	45157	162943
217	45359	162712
218	45624	162705
219	45902	162746
220	46230	162957
221	46500	162961
222	46734	162837
223	46994	162802
224	47262	162793
225	47649	163189
226	47906	163135
227	48108	162892
228	48328	162712
229	48520	162439
230	48768	162350
231	48993	162183
232	49197	161949
233	49475	161959
234	49695	161773
235	49996	161854
236	50273	161851
237	50665	162213
238	50890	162041
239	51198	162128
240	51504	162206
241	51711	161972
242	51961	161870
243	52237	161850
244	52486	161745
245	52813	161874
246	53066	161776
247	53311	161653
248	53647	161803
249	53854	161562
250	54068	161344
251	54345	161310
252	54620	161272
253	54915	161286
254	55155	161139
255	55390	160979
256	55776	161254
257	55988	161021
258	56201	160791
259	56448	160662
260	56832	160916
261	57086	160801
262	57296	160562
263	57583	160535
264	57891	160565
265	58199	160596
266	58443	160447
267	58620	160113
268	59003	160340
269	59402	160606
270	59717	160643
271	60064	160759
272	60368	160762
273	60579	160512
274	60747	160152
275	61032	160100
276	61299	159998
277	61542	159833
278	61869	159884
279	62109	159709
280	62475	159858
281	62881	160103
282	63138	159964
283	63418	159887
284	63666	159724
285	64001	159779
286	64224	159553
287	64547	159575
288	64752	159303
289	65075	159322
290	65348	159217
291	65561	158964
292	65866	158933
293	66237	159060
294	66499	158922
295	66736	158724
296	67150	158946
297	67468	158936
298	67712	158750
299	68044	158771
300	68277	158557
301	68514	158355
302	68680	157988
303	68932	157818
304	69217	157724
305	69450	157512
306	69807	157577
307	70125	157554
308	70507	157671
309	70836	157667
310	71155	157640
311	71312	157253
312	71497	156929
313	71781	156822
314	72022	156619
315	72235	156356
316	72531	156275
317	72863	156267
318	73167	156197
319	73443	156067
320	73689	155873
321	73948	155705
322	74190	155501
323	74543	155529
324	74817	155390
325	75157	155386
326	75370	155120
327	75570	154826
328	75819	154634
329	76101	154509
330	76325	154265
331	76552	154027
332	76909	154049
333	77075	153688
334	77285	153417
335	77628	153408
336	77777	153016
337	78022	152812
338	78442	152951
339	78679	152730
340	78851	152384
341	79130	152244
342	79407	152100
343	79724	152032
344	79910	151714
345	80183	151560
346	80479	151450
347	80699	151196
348	80989	151072
349	81280	150950
350	81554	150795
351	81875	150725
352	82142	150556
353	82416	150398
354	82692	150244
355	82977	150105
356	83204	149860
357	83477	149700
358	83789	149607
359	84052	149427
360	84325	149263
361	84570	149049
362	84839	148878
363	85031	148572
364	85219	148258
365	85492	148094
366	85718	147846
367	85967	147640
368	86245	147482
369	86444	147188
370	86671	146944
371	86906	146712
372	87236	146640
373	87480	146425
374	87819	146365
375	88088	146189
376	88395	146075
377	88623	145830
378	88838	145563
379	89199	145535
380	89506	145419
381	89720	145149
382	89960	144923
383	90202	144699
384	90376	144367
385	90696	144268
386	90997	144137
387	91168	143802
388	91416	143587
389	91605	143280
390	91834	143037
391	92144	142917
392	92403	142719
393	92651	142504
394	92888	142272
395	93124	142038
396	93369	141818
397	93654	141658
398	94034	141640
399	94293	141439
400	94548	141232
401	94790	141006
402	94955	140665
403	95263	140536
404	95444	140220
405	95735	140066
406	96001	139874
407	96263	139677
408	96467	139394
409	96656	139091
410	96850	138796
411	97074	138543
412	97362	138382
413	97598	138147
414	97954	138080
415	98216	137880
416	98528	137751
417	98807	137573
418	99054	137352
419	99281	137102
420	99478	136812
421	99766	136646
422	100059	136487
423	100314	136276
424	100498	135968
425	100822	135849
426	101041	135590
427	101342	135438
428	101617	135253
429	101875	135044
430	102123	134821
431	102423	134668
432	102641	134406
433	102850	134132
434	103154	133981
435	103378	133728
436	103596	133466
437	103801	133187
438	104015	132921
439	104257	132690
440	104433	132377
441	104673	132144
442	105047	132080
443	105337	131909
444	105604	131709
445	106016	131688
446	106242	131436
447	106520	131248
448	106778	131035
449	107048	130837
450	107244	130548
451	107476	130303
452	107694	130041
453	107834	129686
454	108112	129496
455	108384	129301
456	108710	129167
457	109007	129000
458	109308	128836
459	109619	128683
460	109887	128480
461	110102	128214
462	110334	127968
463	110601	127763
464	110972	127677
465	111234	127466
466	111437	127187
467	111675	126946
468	111937	126735
469	112213	126538
470	112462	126311
471	112725	126099
472	112946	125841
473	113333	125766
474	113597	125555
475	113938	125428
476	114145	125153
477	114544	125088
478	114791	124856
479	115008	124592
480	115262	124368
481	115565	124196
482	115801	123952
483	116053	123726
484	116313	123507
485	116718	123442
486	116955	123199
487	117300	123069
488	117589	122879
489	118030	122848
490	118347	122685
491	118656	122515
492	118951	122328
493	119278	122176
494	119551	121966
495	119870	121804
496	120060	121510
497	120451	121418
498	120843	121327
499	121211	121211
500	121448	120963
501	121686	120717
502	121891	120437
503	122230	120289
504	122549	120123
505	122848	119934
506	123170	119769
507	123460	119571
508	123800	119422
509	123997	119135
510	124288	118937
511	124577	118738
512	124843	118516
513	125098	118283
514	125423	118117
515	125694	117899
516	125935	117653
517	126174	117405
518	126483	117222
519	126676	116931
520	126914	116683
521	127152	116434
522	127389	116184
523	127687	115990
524	127989	115799
525	128310	115626
526	128593	115417
527	128777	115119
528	129052	114903
529	129348	114704
530	129652	114513
531	130023	114381
532	130290	114156
533	130504	113886
534	130737	113631
535	130937	113348
536	131386	113281
537	131699	113095
538	132017	112912
539	132359	112750
540	132698	112585
541	133044	112425
542	133343	112224
543	133566	111960
544	133855	111750
545	134284	111657
